# t,pt0x,pt0y,pt0z,pt1x,pt1y,pt1z,dis_0_0,fps_0_0,rss_0_0,dis_0_1,fps_0_1,rss_0_1,dis_0_2,fps_0_2,rss_0_2,dis_0_3,fps_0_3,rss_0_3,dis_0_4,fps_0_4,rss_0_4,dis_0_5,fps_0_5,rss_0_5,dis_0_6,fps_0_6,rss_0_6,dis_0_7,fps_0_7,rss_0_7,dis_0_8,fps_0_8,rss_0_8,dis_0_9,fps_0_9,rss_0_9,dis_1_0,fps_1_0,rss_1_0,dis_1_1,fps_1_1,rss_1_1,dis_1_2,fps_1_2,rss_1_2,dis_1_3,fps_1_3,rss_1_3,dis_1_4,fps_1_4,rss_1_4,dis_1_5,fps_1_5,rss_1_5,dis_1_6,fps_1_6,rss_1_6,dis_1_7,fps_1_7,rss_1_7,dis_1_8,fps_1_8,rss_1_8,dis_1_9,fps_1_9,rss_1_9
1645008760.128218,39.60047904246351,22.95853119281086,6.782600249445361,39.34767495556805,23.355945255651672,6.135607841132804,83.7688735339154,-107.0,-92.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.44509500212176,-84.0,-79.0,0.0,-200.0,-200.0,83.42129605718351,-105.0,-93.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.94882370207685,-105.5,-91.5,0.0,-200.0,-200.0,80.81633937037346,-91.0,-79.5,0.0,-200.0,-200.0
1645008760.1782584,39.600508970995094,22.936882031003897,6.785794836373584,39.33853857140522,23.349811164802365,6.152306035913827,83.79030440432965,-106.0,-91.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.42370793617476,-84.5,-79.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.9410750520354,-105.0,-91.5,0.0,-200.0,-200.0,80.81157776306006,-90.5,-79.5,0.0,-200.0,-200.0
1645008760.228254,39.60248918665434,22.901835310259333,6.795878808695224,39.33244703969138,23.338165272244414,6.181761211449791,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.38927930497971,-85.0,-79.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.92938832075268,-106.0,-91.5,0.0,-200.0,-200.0,80.80186015726446,-91.0,-79.5,0.0,-200.0,-200.0
1645008760.2782466,39.60738543931749,22.86146235551874,6.815326667310533,39.33062757740702,23.31877852363835,6.219747933341706,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.35002874168198,-85.0,-79.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.91179929596834,-105.0,-91.5,0.0,-200.0,-200.0,80.78468517095394,-91.0,-79.5,0.0,-200.0,-200.0
1645008760.3282588,39.615777133745,22.818042231657756,6.840242569985766,39.33335400897559,23.297066140281128,6.2647251561124415,83.90533087297881,-104.5,-91.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.3079040036409,-84.5,-79.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.89352583983467,-105.5,-91.5,0.0,-200.0,-200.0,80.76536653647666,-91.5,-79.5,0.0,-200.0,-200.0
1645008760.378229,39.62813715618697,22.774711092456897,6.870109196354429,39.340630143814785,23.27464743801638,6.315266526461225,83.94643767995696,-104.0,-91.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.26600355705425,-84.0,-79.0,0.0,-200.0,-200.0,83.492537799288,-106.5,-92.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.87606628920452,-106.5,-91.5,0.0,-200.0,-200.0,80.74544581087169,-92.0,-79.5,0.0,-200.0,-200.0
1645008760.4282196,39.65612744746834,22.718566847685125,6.860236431286526,39.343201126145594,23.29047489531303,6.396075551213013,84.0014536307876,-105.5,-91.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.4530324596577,-103.0,-94.5,0.0,-200.0,-200.0,80.20809871714539,-84.0,-79.0,0.0,-200.0,-200.0,83.47216314271354,-106.0,-92.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.8952804935932,-106.0,-91.0,0.0,-200.0,-200.0,80.76564506307145,-91.0,-79.0,0.0,-200.0,-200.0
1645008760.4782572,39.6739359081896,22.67348061734935,6.856280505805908,39.354610598588195,23.309165571751336,6.489697629086761,84.04569073171821,-104.5,-90.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.41457522807343,-102.0,-93.0,0.0,-200.0,-200.0,80.16207199141665,-84.0,-79.0,0.0,-200.0,-200.0,83.44780143425159,-106.5,-91.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.92027612289604,-104.5,-91.5,0.0,-200.0,-200.0,80.78910188275967,-91.0,-79.0,0.0,-200.0,-200.0
1645008760.528272,39.71578199106461,22.676884154044913,6.969854747978838,39.39232449681723,23.242544098126054,6.505256967973276,84.03465975042283,-105.0,-90.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.17076682702006,-84.5,-79.0,0.0,-200.0,-200.0,83.51128725899684,-108.5,-91.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.86740493227902,-106.0,-91.0,0.0,-200.0,-200.0,80.72169435715266,-91.0,-79.0,0.0,-200.0,-200.0
1645008760.5782561,39.740409824417085,22.645177631044966,6.988069658868772,39.41392521232841,23.257123930602233,6.588849738729208,84.0641622400695,-105.0,-90.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,80.13920667893284,-83.5,-79.0,0.0,-200.0,-200.0,83.49112702825525,-107.0,-91.5,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,0.0,-200.0,-200.0,201.89089535504556,-105.0,-91.5,0.0,-200.0,-200.0,80.74007510156005,-91.0,-79.0,0.0,-200.0,-200.0
